epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,598.337,1.23052,0.88321,0.93933,0.80966,0.79354,0.83655,0.50794,1.12708,0.79551,0.95463,0.00041633,0.00041633,0.00041633
2,1173.48,1.1979,0.67046,0.93618,0.85541,0.80944,0.86012,0.53559,1.08946,0.74791,0.94878,0.00075053,0.00075053,0.00075053
3,1748.27,1.17041,0.64235,0.92815,0.84802,0.77728,0.84527,0.52396,1.13123,0.79967,0.96324,0.00100223,0.00100223,0.00100223
4,2325.29,1.13443,0.59912,0.91582,0.88458,0.85553,0.89514,0.58294,1.03116,0.65962,0.92584,0.00087875,0.00087875,0.00087875
5,2901.03,1.1029,0.56875,0.9059,0.88335,0.84783,0.89086,0.5747,1.02843,0.62385,0.92665,0.000755,0.000755,0.000755
6,3468.2,1.0752,0.53935,0.89943,0.87389,0.86998,0.90231,0.58789,1.01903,0.6417,0.92172,0.00063125,0.00063125,0.00063125
7,4029.5,1.04571,0.51618,0.89108,0.91974,0.88643,0.92163,0.61624,0.97168,0.55707,0.90828,0.0005075,0.0005075,0.0005075
8,4586.57,1.0186,0.49262,0.88413,0.91522,0.87701,0.91406,0.61914,0.96017,0.55854,0.90225,0.00038375,0.00038375,0.00038375
9,5142.75,0.99044,0.46979,0.87648,0.92479,0.89576,0.92298,0.62963,0.95208,0.55374,0.90005,0.00026,0.00026,0.00026
10,5695.44,0.96328,0.44917,0.86964,0.92307,0.8977,0.92822,0.63314,0.94694,0.52435,0.89869,0.00013625,0.00013625,0.00013625
